"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.025543130E-1,-2.693476854E-3,1.980453730E-1,9.739762306E0,9.741775968E0
6.050773440E-1,2.020107582E-3,2.255038768E-1,9.754201889E0,9.756808421E0
6.076001310E-1,5.686229095E-3,1.969230920E-1,9.741034508E0,9.743026446E0
6.101233240E-1,1.159691438E-2,2.088192850E-1,9.745822906E0,9.748066686E0
6.126599040E-1,2.715922520E-2,2.100912035E-1,9.739912033E0,9.742215474E0
6.151884290E-1,2.237082273E-2,2.136076838E-1,9.748291969E0,9.750657671E0
6.177069430E-1,1.631049998E-2,2.136076838E-1,9.757793427E0,9.760144816E0
6.202298910E-1,-2.768295817E-3,2.111386657E-1,9.761309624E0,9.763593230E0
6.227529630E-1,6.808510982E-3,2.076221853E-1,9.748216629E0,9.750429774E0
6.252570730E-1,1.032499503E-2,2.160018831E-1,9.756596565E0,9.758992774E0
6.277985370E-1,1.870470122E-2,2.052279711E-1,9.766173363E0,9.768347380E0
6.303219330E-1,-4.489128187E-4,2.063502520E-1,9.762507439E0,9.764688019E0
6.328448010E-1,-6.284779403E-3,1.956511736E-1,9.751732826E0,9.753697350E0
6.353677910E-1,1.518821716E-2,2.041056901E-1,9.742231369E0,9.744381040E0
6.378907810E-1,6.808510982E-3,2.183960825E-1,9.750611305E0,9.753059214E0
6.404143400E-1,1.167173311E-2,2.088941038E-1,9.730335236E0,9.732584280E0
6.429368830E-1,9.202713147E-3,1.957259923E-1,9.750611305E0,9.752579873E0
6.454601990E-1,3.217208432E-3,2.124105841E-1,9.756521225E0,9.758833692E0
6.479833510E-1,1.511339843E-2,2.052279711E-1,9.756596565E0,9.758766493E0
6.505063810E-1,1.039981376E-2,1.909375787E-1,9.753005028E0,9.754879414E0
6.530285990E-1,-2.992752125E-4,2.100163847E-1,9.738639832E0,9.740904103E0
6.555164320E-1,1.032499503E-2,2.112134844E-1,9.745897293E0,9.748191206E0
6.580750670E-1,5.461772438E-3,2.159270644E-1,9.750685692E0,9.753077760E0
6.605788910E-1,1.623567939E-2,2.040308714E-1,9.753080368E0,9.755227771E0
6.631216980E-1,-5.237316363E-4,2.123357654E-1,9.762581825E0,9.764890713E0
6.656447290E-1,-1.473930385E-2,1.991676539E-1,9.744625092E0,9.746671390E0
6.681675550E-1,-7.631517947E-3,2.135328650E-1,9.744625092E0,9.746967359E0
6.706900570E-1,-5.312134977E-3,2.158522457E-1,9.760188103E0,9.762576105E0
6.732133320E-1,9.053074755E-3,2.267009765E-1,9.753080368E0,9.755718936E0
6.757365660E-1,3.067570971E-3,2.075473666E-1,9.758990288E0,9.761197506E0
